+-------------------------------------------------------------------------------------------------------+
| Group: PCMEX                                                                                          |
+-------------------------------------------------------------------------------------------------------+
| Block    | Description             | Index | Byte offset      | Block Byte Length | Total Byte Length |
| OSC3WAVE    | OSC3 WAVE FORM             | 0x0020 0032 - 02  | 0     | 27    | 0    | PW, SAW, SQR 1OCT, SQR 2OCT, SH SubOSC, NOISE, PW, SAW, SQR 1OCT, NOISE ... |
| OSC3FEET    | OSC3 FEET                  | 0x0022 0034 - 01  | 0     | 4     | 0    | 32', 16', 8', 4', 2'                                                        |
| OSC3COARSE  | OSC3 COARSE TUNE           | 0x0023 0035 - 01  | -48   | 48    | 0    |                                                                             |
| OSC3FINE    | OSC3 FINE TUNE             | 0x0024 0036 - 01  | -50   | 50    | 0    |                                                                             |
| OSC3LOWFREQ | OSC3 LOW FREQ PITCH        | 0x0025 0037 - 01  | 0     | 127   | 0    |                                                                             |
| OSC3MODE    | OSC3 MODE                  | 0x0026 0038 - 01  | 0     | 1     | 0    | NORMAL, LO FREQ                                                             |
| NOISE       | NOISE                      | 0x0027 0039 - 01  | 0     | 1     | 0    | WHITE, PINK                                                                 |
| MODDPTH     | MOD DEPTH                  | 0x0028 0040 - 02  | 0     | 10800 | 0    |                                                                             |
| MODMODE     | MOD MODE                   | 0x002a 0042 - 01  | 0     | 3     | 0    | OFF, SYNC, RING, X-MOD                                                      |
| MXROSC1     | OSC1 LEVEL                 | 0x002b 0043 - 01  | 0     | 255   | 0    |                                                                             |
| MXROSC2     | OSC2 LEVEL                 | 0x002c 0044 - 01  | 0     | 255   | 0    |                                                                             |
| MXROSC3     | OSC3 LEVEL                 | 0x002d 0045 - 01  | 0     | 255   | 0    |                                                                             |
| MXRNOISE    | NOISE LEVEL                | 0x002e 0046 - 01  | 0     | 255   | 0    |                                                                             |
| MXRENVD     | MIXER ENV DEPTH            | 0x002f 0047 - 01  | -63   | 63    | 0    |                                                                             |
| MXRENVS     | MIXER ENV SELECT           | 0x0030 0048 - 01  | 0     | 1     | 0    | 1, 2                                                                        |
| MXRDYNA     | MIXER DYNAMICS             | 0x0031 0049 - 01  | 0     | 3     | 0    |                                                                             |
| FLTTYPE     | FILTER TYPE                | 0x0032 0050 - 01  | 0     | 3     | 0    |                                                                             |
| FLTHPF2     | FILTER HPF STEP            | 0x0033 0051 - 01  | 0     | 3     | 0    |                                                                             |
| FLTHPF1     | FILTER HPF                 | 0x0034 0052 - 02  | 0     | 1023  | 0    |                                                                             |
| FLTFREQ     | FILTER FREQ                | 0x0036 0054 - 02  | 0     | 1023  | 0    |                                                                             |
| FLTRESO     | FILTER RESO                | 0x0038 0056 - 02  | 0     | 1023  | 0    |                                                                             |
| FLTENVD     | FILTER ENV DEPTH           | 0x003a 0058 - 02  | -1023 | 1023  | 0    |                                                                             |
| FLTENVS     | FILTER ENV SELECT          | 0x003c 0060 - 01  | 0     | 1     | 0    | 1, 2                                                                        |
| FLTSLOPE    | FILTER SLOPE               | 0x003d 0061 - 01  | 0     | 2     | 0    | -12dB, -18db, -24dB                                                         |
| FLTKYBD     | FILTER KEY FOLLOW          | 0x003e 0062 - 02  | -200  | 200   | 0    |                                                                             |
| FLTMOD      | FILTER MOD                 | 0x0040 0064 - 01  | -100  | 100   | 0    |                                                                             |
| AMPLVL      | AMP LEVEL                  | 0x0042 0066 - 01  | 0     | 127   | 0    |                                                                             |
| AMPMOD1     | AMP MOD                    | 0x0043 0067 - 01  | -100  | 100   | 0    |                                                                             |
| AMPMOD2     | AMP MOD STEP               | 0x0044 0068 - 01  | 0     | 3     | 0    |                                                                             |
| AMPENVS     | AMP ENV SELECT             | 0x0045 0069 - 01  | 0     | 3     | 0    | ENV F&A, ENV2, G-AMP, G-ENV2                                                |
| ENV1A       | ENV1 ATTACK                | 0x0046 0070 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV1D       | ENV1 DECAY                 | 0x0048 0072 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV1S       | ENV1 SUSTAIN               | 0x004a 0074 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV1R       | ENV1 RELEASE               | 0x004c 0076 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV1KYBD1   | ENV1 KEY FOLLOW            | 0x004e 0078 - 01  | -100  | 100   | 0    |                                                                             |
| ENV1KYBD2   | ENV1 KEY FOLLOW STEP       | 0x004f 0079 - 01  | 0     | 6     | 0    |                                                                             |
| ENV2A       | ENV2 ATTACK                | 0x0050 0080 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV2D       | ENV2 DECAY                 | 0x0052 0082 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV2S       | ENV2 SUSTAIN               | 0x0054 0084 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV2R       | ENV2 RELEASE               | 0x0056 0086 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV2MODE    | ENV2 MODE                  | 0x0058 0088 - 01  | 0     | 2     | 0    | GATE+TRIG, GATE, LFO                                                        |
| ENV2KYBD1   | ENV2 KEY FOLLOW            | 0x0059 0089 - 01  | -100  | 100   | 0    |                                                                             |
| ENV2KYBD2   | ENV2 KEY FOLLOW STEP       | 0x005a 0090 - 01  | 0     | 3     | 0    |                                                                             |
| DYNPTCH     | DYNAMICS PITCH             | 0x005b 0091 - 01  | 0     | 3     | 0    |                                                                             |
| DYNFLTT     | DYNAMICS FILTER            | 0x005c 0092 - 01  | 0     | 3     | 0    |                                                                             |
| DYNAMP      | DYNAMICS AMP               | 0x005d 0093 - 01  | 0     | 3     | 0    |                                                                             |
| PCHDRFT     | PITCH DRIFT                | 0x005e 0094 - 01  | 0     | 255   | 0    |                                                                             |
| BNDPTCH2    | BENDER PITCH DEPTH STEP    | 0x005f 0095 - 01  | 0     | 3     | 0    | 2, 3, 4, 7                                                                  |
| BNDFLT      | BENDER FILTER DEPTH        | 0x0060 0096 - 01  | -63   | 63    | 0    |                                                                             |
| BNDLFO      | MODULATION LFO DEPTH       | 0x0061 0097 - 01  | -63   | 63    | 0    |                                                                             |
| BNDPTCH1    | BENDER PITCH DEPTH         | 0x0062 0098 - 02  | 0     | 4800  | 0    |                                                                             |
| PTATIME     | PORTAMENT TIME             | 0x0064 0100 - 02  | 0     | 1023  | 0    |                                                                             |
| PTAMODE     | PORTAMENT MODE             | 0x0066 0102 - 01  | 0     | 2     | 0    | OFF, ON, AUTO                                                               |
| KBDMODE     | KEY MODE                   | 0x0067 0103 - 01  | 0     | 3     | 0    | POLY, SOLO, UNISON, SL-UNISON                                               |
| EXPAND      | PARAMETER EXPANSION SWITCH | 0x0068 0104 - 01  | 0     | 1     | 0    | OFF, ON                                                                     |
| CONDITION   | CONDITION                  | 0x0069 0105 - 01  | 0     | 100   | 0    |                                                                             |
| PTACRV      | PORTAMENT CURVE TYPE       | 0x006a 0106 - 01  | 0     | 3     | 0    | ORIGINAL, LINER, EXP1, EXP2                                                 |
| AFT_LFO     | AFTER TOUCH SENS LFO       | 0x006b 0107 - 01  | -63   | 63    | 0    |                                                                             |
| AFT_FREQ    | AFTER TOUCH SENS FREQ      | 0x006c 0108 - 01  | -63   | 63    | 0    |                                                                             |
| AFT_LEV     | AFTER TOUCH SENS LEVEL     | 0x006d 0109 - 01  | -63   | 63    | 0    |                                                                             |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLSYN0 : Total Length Bytes: 0x0070 112                                                                                                                   |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLVDN                                                                                                                                                                               |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID            | Description                | Byte offset - len | Min | Max | Init | Values                                                                                                  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| MSTR_LVL      | Level                      | 0x0000 0000 - 01  | 0   | 127 | 100  |                                                                                                         |
| MIC_LVL       | Mic Direct Level           | 0x0001 0001 - 01  | 0   | 127 | 0    |                                                                                                         |
| VOC_LVL       | Vocoder Level              | 0x0002 0002 - 01  | 0   | 127 | 100  |                                                                                                         |
| ALGO          | Algorithm                  | 0x0003 0003 - 01  | 0   | 25  | 0    | Classic A, Classic B, Classic C, Male&Fem 1, Male&Fem 2, Gospel A, Gospel B, Gospel C, Pop A, Pop B ... |
| CRR_TYPE      | Carrier Type               | 0x0004 0004 - 01  | 0   | 1   | 0    | Basic, Custom                                                                                           |
| RSV_CRR_BASIC | Reserved                   | 0x0005 0005 - 01  | 0   | 0   | 0    |                                                                                                         |
| LEVEL         | Carrier Basic Level        | 0x0006 0006 - 01  | 0   | 127 | 100  |                                                                                                         |
| PAN           | Carrier Basic Pan          | 0x0007 0007 - 01  | -64 | 63  | 0    |                                                                                                         |
| PIT_CRS       | Carrier Basic Coarse Tune  | 0x0008 0008 - 01  | -48 | 48  | 0    |                                                                                                         |
| PIT_FINE      | Carrier Basic Fine Tune    | 0x0009 0009 - 01  | -50 | 50  | 0    |                                                                                                         |
| OCTAVE        | Carrier Basic Octave Shift | 0x000a 0010 - 01  | -2  | 2   | 0    |                                                                                                         |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLVDN : Total Length Bytes: 0x0020 32                                                                                                                                               |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MFX                                                                                                                                                                       |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID         | Description           | Byte offset - len | Min    | Max   | Init | Values                                                                                          |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| mfxType    | Type                  | 0x0000 0000 - 01  | 0      | 93    | 0    |                                                                                                 |
| mfxSwitch  | MFX Switch            | 0x0001 0001 - 01  | 0      | 1     | 1    |                                                                                                 |
| choSend    | MFX Chorus Send Level | 0x0002 0002 - 01  | 0      | 127   | 127  |                                                                                                 |
| revSend    | MFX Reverb Send Level | 0x0003 0003 - 01  | 0      | 127   | 127  |                                                                                                 |
| ctrlSrc1   | MFX CtrlSrc 1         | 0x0004 0004 - 01  | 0      | 100   | 0    | OFF, MOD:CC01, BRETH:CC02, CC03, FOOT:CC04, PTIME:CC05, DENT:CC06, VOL:CC07, BAL:CC08, CC09 ... |
| ctrlSens1  | MFX CtrlSens 1        | 0x0005 0005 - 01  | -63    | 63    | 0    |                                                                                                 |
| ctrlSrc2   | MFX CtrlSrc 2         | 0x0006 0006 - 01  | 0      | 100   | 0    | OFF, MOD:CC01, BRETH:CC02, CC03, FOOT:CC04, PTIME:CC05, DENT:CC06, VOL:CC07, BAL:CC08, CC09 ... |
| ctrlSens2  | MFX CtrlSens 2        | 0x0007 0007 - 01  | -63    | 63    | 0    |                                                                                                 |
| ctrlSrc3   | MFX CtrlSrc 3         | 0x0008 0008 - 01  | 0      | 100   | 0    | OFF, MOD:CC01, BRETH:CC02, CC03, FOOT:CC04, PTIME:CC05, DENT:CC06, VOL:CC07, BAL:CC08, CC09 ... |
| ctrlSens3  | MFX CtrlSens 3        | 0x0009 0009 - 01  | -63    | 63    | 0    |                                                                                                 |
| ctrlSrc4   | MFX CtrlSrc 4         | 0x000a 0010 - 01  | 0      | 100   | 0    | OFF, MOD:CC01, BRETH:CC02, CC03, FOOT:CC04, PTIME:CC05, DENT:CC06, VOL:CC07, BAL:CC08, CC09 ... |
| ctrlSens4  | MFX CtrlSens 4        | 0x000b 0011 - 01  | -63    | 63    | 0    |                                                                                                 |
| ctrlAsgn_1 | MFX CtrlAsgn 1        | 0x000c 0012 - 01  | 0      | 11    | 0    |                                                                                                 |
| param_1    | MFX Parameter 1       | 0x0010 0016 - 02  | -20000 | 20000 | 0    |                                                                                                 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MFX : Total Length Bytes: 0x0054 84                                                                                                                                       |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

+-----------------------------------------------------------------------------------------+
| Block: PCMR_CMN                                                                         |
+-----------------------------------------------------------------------------------------+
| ID               | Description       | Byte offset - len | Min  | Max   | Init | Values |
+-----------------------------------------------------------------------------------------+
| NAME_1           | Name 1            | 0x0000 0000 - 01  | 32   | 127   | 32   |        |
| PHRASE           | Phrase Number     | 0x0012 0018 - 02  | 0    | 65535 | 0    |        |
| LEVEL            | Level             | 0x0014 0020 - 01  | 0    | 127   | 127  |        |
| PHRASE_VEL_RATE  | Phrase Velo Rate  | 0x0017 0023 - 01  | 1    | 200   | 100  |        |
| PHRASE_VEL_SHIFT | Phrase Velo Shift | 0x0018 0024 - 01  | -100 | 100   | 0    |        |
+-----------------------------------------------------------------------------------------+
| Block: PCMR_CMN : Total Length Bytes: 0x001c 28                                         |
+-----------------------------------------------------------------------------------------+

+----------------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMR_PTL                                                                                                                        |
+----------------------------------------------------------------------------------------------------------------------------------------+
| ID            | Description             | Byte offset - len | Min  | Max   | Init | Values                                             |
+----------------------------------------------------------------------------------------------------------------------------------------+
| INST_NUM      | Inst Number             | 0x0000 0000 - 02  | 0    | 32768 | 0    |                                                    |
| INST_GTYPE    | Inst Bank               | 0x0002 0002 - 01  | 0    | 2     | 0    | PRESET, USER, EXP                                  |
| INST_GID      | Inst Group ID           | 0x0004 0004 - 02  | 0    | 16383 | 0    |                                                    |
| LEVEL         | Level                   | 0x0006 0006 - 01  | 0    | 127   | 127  |                                                    |
| PAN           | Pan                     | 0x0008 0008 - 01  | -64  | 63    | 0    |                                                    |
| CHO_SEND      | Chorus Send Level       | 0x0009 0009 - 01  | 0    | 127   | 0    |                                                    |
| REV_SEND      | Reverb Send Level       | 0x000a 0010 - 01  | 0    | 127   | 0    |                                                    |
| MUTE_GRP      | Mute Group              | 0x000b 0011 - 01  | 0    | 31    | 0    | OFF, 1, 2, 3, 4, 5, 6, 7, 8, 9 ...                 |
| OUT_ASGN      | Output Assign           | 0x000c 0012 - 01  | 0    | 7     | 1    | DRY, MFX, COMP1, COMP2, COMP3, COMP4, COMP5, COMP6 |
| KEY_OFST      | Key Offset              | 0x000d 0013 - 01  | -24  | 24    | 0    |                                                    |
| PIT_FINE_OFST | Fine Tune Offset        | 0x000e 0014 - 01  | -50  | 50    | 0    |                                                    |
| CUTOFF_OFST   | TVF Cutoff Offset       | 0x000f 0015 - 01  | -100 | 100   | 0    |                                                    |
| RESO_OFST     | TVF Resonance Offset    | 0x0010 0016 - 01  | -100 | 100   | 0    |                                                    |
| TVA_ATK_OFST  | TVA Attack Time Offset  | 0x0011 0017 - 01  | -100 | 100   | 0    |                                                    |
| TVA_DCY_OFST  | TVA Decay Time Offset   | 0x0012 0018 - 01  | -100 | 100   | 0    |                                                    |
| TVA_REL_OFST  | TVA Release Time Offset | 0x0013 0019 - 01  | -100 | 100   | 0    |                                                    |
+----------------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMR_PTL : Total Length Bytes: 0x0014 20                                                                                        |
+----------------------------------------------------------------------------------------------------------------------------------------+

+---------------------------------------------------------------------------------------------------------------------+
| Block: PCMS_CMN                                                                                                     |
+---------------------------------------------------------------------------------------------------------------------+
| ID                 | Description              | Byte offset - len | Min | Max | Init | Values                       |
+---------------------------------------------------------------------------------------------------------------------+
| UNISON_SW          | Unison Switch            | 0x0000 0000 - 01  | 0   | 1   | 0    | OFF, ON                      |
| UNISON_SIZE        | Unison Size              | 0x0001 0001 - 01  | 2   | 8   | 4    |                              |
| UNISON_DETN        | Unison Detune            | 0x0002 0002 - 01  | 0   | 100 | 20   |                              |
| BEND_RANGE_FINE_UP | Bend Range Fine Up       | 0x0004 0004 - 01  | 0   | 100 | 0    |                              |
| BEND_RANGE_FINE_DW | Bend Range Fine Down     | 0x0005 0005 - 01  | 0   | 100 | 0    |                              |
| RND_PIT_VAL        | Pitch Drift              | 0x0006 0006 - 01  | 0   | 255 | 0    |                              |
| RND_PIT_NUM        | Pitch Drift Cycle Number | 0x0007 0007 - 01  | 0   | 8   | 0    | FREE, 1, 2, 3, 4, 5, 6, 7, 8 |
| CONDITION          | Condition                | 0x0008 0008 - 01  | 0   | 100 | 0    |                              |
+---------------------------------------------------------------------------------------------------------------------+
| Block: PCMS_CMN : Total Length Bytes: 0x0014 20                                                                     |
+---------------------------------------------------------------------------------------------------------------------+

+---------------------------------------------------------------------------------------------------------------+
| Block: PCMS_PMT                                                                                               |
+---------------------------------------------------------------------------------------------------------------+
| ID              | Description         | Byte offset - len | Min | Max   | Init | Values                       |
+---------------------------------------------------------------------------------------------------------------+
| STRUCT12        | Structure1-2        | 0x0000 0000 - 01  | 0   | 4     | 0    | OFF, SYNC, RING, XMOD, XMOD2 |
| STRUCT34        | Structure3-4        | 0x0001 0001 - 01  | 0   | 4     | 0    | OFF, SYNC, RING, XMOD, XMOD2 |
| RING12_LEVEL    | RING1-2 Level       | 0x0004 0004 - 01  | 0   | 127   | 127  |                              |
| RING34_LEVEL    | RING3-4 Level       | 0x0005 0005 - 01  | 0   | 127   | 127  |                              |
| RING_OSC1_LEVEL | RING OSC1 Level     | 0x0006 0006 - 01  | 0   | 127   | 0    |                              |
| RING_OSC2_LEVEL | RING OSC2 Level     | 0x0007 0007 - 01  | 0   | 127   | 0    |                              |
| RING_OSC3_LEVEL | RING OSC3 Level     | 0x0008 0008 - 01  | 0   | 127   | 0    |                              |
| RING_OSC4_LEVEL | RING OSC4 Level     | 0x0009 0009 - 01  | 0   | 127   | 0    |                              |
| XMOD12_DEPTH    | CrossMod1-2 Depth   | 0x000c 0012 - 02  | 0   | 10800 | 1200 |                              |
| XMOD34_DEPTH    | CrossMod3-4 Depth   | 0x000e 0014 - 02  | 0   | 10800 | 1200 |                              |
| XMOD_OSC1_LEVEL | CrossMod OSC1 Level | 0x0010 0016 - 01  | 0   | 127   | 127  |                              |
| XMOD_OSC2_LEVEL | CrossMod OSC2 Level | 0x0011 0017 - 01  | 0   | 127   | 0    |                              |
| XMOD_OSC3_LEVEL | CrossMod OSC3 Level | 0x0012 0018 - 01  | 0   | 127   | 127  |                              |
| XMOD_OSC4_LEVEL | CrossMod OSC4 Level | 0x0013 0019 - 01  | 0   | 127   | 0    |                              |
| PTL_PHS_LOCK    | Partial Phase Lock  | 0x0014 0020 - 01  | 0   | 1     | 1    | OFF, ON                      |
| XMOD2_12_DEPTH  | CrossMod2 1-2 Depth | 0x0015 0021 - 01  | 0   | 127   | 100  |                              |
| XMOD2_34_DEPTH  | CrossMod2 3-4 Depth | 0x0016 0022 - 01  | 0   | 127   | 100  |                              |
+---------------------------------------------------------------------------------------------------------------+
| Block: PCMS_PMT : Total Length Bytes: 0x0024 36                                                               |
+---------------------------------------------------------------------------------------------------------------+

+--------------------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMS_PTL                                                                                                                            |
+--------------------------------------------------------------------------------------------------------------------------------------------+
| ID               | Description                 | Byte offset - len | Min | Max   | Init | Values                                           |
+--------------------------------------------------------------------------------------------------------------------------------------------+
| OSC_TYPE         | OSC Type                    | 0x0000 0000 - 01  | 0   | 4     | 0    | PCM, VA, PCM-Sync, SuperSAW, Noise               |
| VA_FORM          | VA Waveform                 | 0x0001 0001 - 01  | 0   | 8     | 0    | SAW, SQR, TRI, SIN, RAMP, JUNO, TRI2, TRI3, SIN2 |
| SYNC_WAV_NUM     | PCM-Sync Wave Number        | 0x0002 0002 - 02  | 0   | 16383 | 0    |                                                  |
| PW               | Pulse Width                 | 0x0004 0004 - 01  | 0   | 127   | 64   |                                                  |
| PWM_DEPTH        | PWM Depth                   | 0x0005 0005 - 01  | -63 | 63    | 0    |                                                  |
| SSAW_DETUNE      | SuperSAW Detune             | 0x0006 0006 - 01  | 0   | 127   | 64   |                                                  |
| CLICK_TYPE       | Click Type                  | 0x0007 0007 - 01  | 0   | 3     | 2    | SOFT, HARD, NATURAL, OFF                         |
| HPF_CUTOFF       | HPF Cutoff                  | 0x0008 0008 - 02  | 0   | 1023  | 0    |                                                  |
| FILTER_TYPE      | Filter Type                 | 0x000a 0010 - 01  | 0   | 1     | 0    | TVF, VCF                                         |
| FILTER_SLOPE     | Filter Slope                | 0x000b 0011 - 01  | 0   | 2     | 0    | -12, -18, -24                                    |
| ADSR_ENV_SW      | ADSREnv Switch              | 0x000c 0012 - 01  | 0   | 1     | 0    | OFF, ON                                          |
| FAT              | Fat                         | 0x000d 0013 - 01  | 0   | 127   | 64   |                                                  |
| VCF_TYPE         | VCF Type                    | 0x000e 0014 - 01  | 0   | 3     | 0    | VCF1, JP, MG, P5                                 |
| OSC_ATT          | OSC Attenuator              | 0x000f 0015 - 01  | 0   | 255   | 255  |                                                  |
| CUTOFF_KF_BP     | Cutoff Keyfollow Base Point | 0x0010 0016 - 01  | 0   | 127   | 60   |                                                  |
| VA_INVERT_SW     | VA Waveform Invert Switch   | 0x0011 0017 - 01  | 0   | 1     | 0    | OFF, ON                                          |
| FENV_FINE_DEPTH  | TVF Env Fine Depth          | 0x0012 0018 - 01  | -63 | 63    | 0    |                                                  |
| PENV_LFO_TRIG_SW | PENV LFO Trigger Switch     | 0x0013 0019 - 01  | 0   | 1     | 0    | OFF, ON                                          |
| FENV_LFO_TRIG_SW | FENV LFO Trigger Switch     | 0x0014 0020 - 01  | 0   | 1     | 0    | OFF, ON                                          |
| AENV_LFO_TRIG_SW | AENV LFO Trigger Switch     | 0x0015 0021 - 01  | 0   | 1     | 0    | OFF, ON                                          |
| PITCH_DOWN_DEPTH | Pitch Down Depth            | 0x0016 0022 - 01  | 0   | 120   | 0    |                                                  |
| VCF_GC           | VCF Gain Correction         | 0x0017 0023 - 01  | 0   | 127   | 0    |                                                  |
| VA_INIT_PHASE    | VA Init Phase               | 0x0018 0024 - 01  | 0   | 72    | 0    |                                                  |
+--------------------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMS_PTL : Total Length Bytes: 0x0024 36                                                                                            |
+--------------------------------------------------------------------------------------------------------------------------------------------+

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMT_CMN                                                                                                                                                                                       |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID               | Description               | Byte offset - len | Min | Max  | Init | Values                                                                                                         |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| NAME_1           | Name 1                    | 0x0000 0000 - 01  | 32  | 127  | 32   |                                                                                                                |
| CATEGORY         | Category                  | 0x0010 0016 - 01  | 0   | 50   | 0    | None, Ac.Piano, Pop-Piano, E.Grand Piano, E.Piano1, E.Piano2, E.Organ, Pipe Organ, Reed Organ, Harpsichord ... |
| PHRASE           | Reserved                  | 0x0012 0018 - 02  | 0   | 0    | 0    |                                                                                                                |
| LEVEL            | Level                     | 0x0014 0020 - 01  | 0   | 127  | 127  |                                                                                                                |
| PAN              | Pan                       | 0x0015 0021 - 01  | -64 | 63   | 0    |                                                                                                                |
| PRIORITY         | Priority                  | 0x0018 0024 - 01  | 0   | 1    | 0    | LAST, LOUDEST                                                                                                  |
| PIT_CRS          | Tone Coarse Tune          | 0x0019 0025 - 01  | -48 | 48   | 0    |                                                                                                                |
| PIT_FINE         | Tone Fine Tune            | 0x001a 0026 - 01  | -50 | 50   | 0    |                                                                                                                |
| OCTAVE           | Octave Shift              | 0x001b 0027 - 01  | -3  | 3    | 0    |                                                                                                                |
| STRETCH          | Stretch Tune Depth        | 0x001c 0028 - 01  | 0   | 3    | 0    | OFF, 1, 2, 3                                                                                                   |
| ANALOG_FEEL      | Analog Feel               | 0x001d 0029 - 01  | 0   | 127  | 0    |                                                                                                                |
| MONO_POLY        | Mono/Poly                 | 0x001e 0030 - 01  | 0   | 1    | 1    | MONO, POLY                                                                                                     |
| LEGATO_SW        | Legato Switch             | 0x001f 0031 - 01  | 0   | 1    | 0    | OFF, ON                                                                                                        |
| RETRIG_INTVL     | Legato Retrigger Interval | 0x0020 0032 - 01  | 0   | 13   | 12   | 0, 1, 2, 3, 4, 5, 6, 7, 8, 9 ...                                                                               |
| PORTA_SW         | Portamento Switch         | 0x0021 0033 - 01  | 0   | 1    | 0    | OFF, ON                                                                                                        |
| PORTA_MODE       | Portamento Mode           | 0x0022 0034 - 01  | 0   | 1    | 0    | NORMAL, LEGATO                                                                                                 |
| PORTA_TYPE       | Portamento Type           | 0x0023 0035 - 01  | 0   | 1    | 0    | RATE, TIME                                                                                                     |
| PORTA_START      | Portamento Start          | 0x0025 0037 - 01  | 0   | 1    | 0    | PITCH, NOTE                                                                                                    |
| PORTA_TIME       | Portamento Time           | 0x0026 0038 - 02  | 0   | 1023 | 73   |                                                                                                                |
| BEND_RANGE_UP    | Bend Range Up             | 0x0028 0040 - 01  | 0   | 48   | 2    |                                                                                                                |
| BEND_RANGE_DW    | Bend Range Down           | 0x0029 0041 - 01  | 0   | 48   | 2    |                                                                                                                |
| BEND_MODE        | Bend Mode                 | 0x002a 0042 - 01  | 0   | 1    | 0    | NORMAL, CATCH+LAST                                                                                             |
| SOFT_LEVEL_SENS  | Soft Level Sens           | 0x002b 0043 - 01  | 0   | 100  | 0    |                                                                                                                |
| PHRASE_OCT       | Reserved                  | 0x002c 0044 - 01  | 0   | 0    | 0    |                                                                                                                |
| PHRASE_VEL_RATE  | Reserved                  | 0x002d 0045 - 01  | 0   | 0    | 0    |                                                                                                                |
| PHRASE_VEL_SHIFT | Reserved                  | 0x002e 0046 - 01  | 0   | 0    | 0    |                                                                                                                |
| SYMP_DEPTH       | Reserved                  | 0x002f 0047 - 01  | 0   | 0    | 0    |                                                                                                                |
| PORTA_CRV        | Portamento Curve Type     | 0x0030 0048 - 01  | 0   | 2    | 0    |                                                                                                                |
| PTL_LFO_LOCK     | Partial LFO Phase Lock    | 0x0031 0049 - 01  | 0   | 1    | 0    | OFF, ON                                                                                                        |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: PCMT_CMN : Total Length Bytes: 0x0040 64                                                                                                                                                       |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

+------------------------------------------------------------------------------+
| Block: PCMT_PMT_PMT                                                          |
+------------------------------------------------------------------------------+
| ID        | Description     | Byte offset - len | Min | Max | Init | Values  |
+------------------------------------------------------------------------------+
| PTL_SW    | Partial Switch  | 0x0000 0000 - 01  | 0   | 1   | 0    | OFF, ON |
| KRANGE_LO | KeyRange Lower  | 0x0004 0004 - 01  | 0   | 127 | 0    |         |
| KRANGE_UP | KeyRange Upper  | 0x0005 0005 - 01  | 0   | 127 | 127  |         |
| KFADE_LO  | KeyFade Lower   | 0x0006 0006 - 01  | 0   | 127 | 0    |         |
| KFADE_UP  | KeyFade Upper   | 0x0007 0007 - 01  | 0   | 127 | 0    |         |
| VRANGE_LO | VeloRange Lower | 0x0008 0008 - 01  | 1   | 127 | 1    |         |
| VRANGE_UP | VeloRange Upper | 0x0009 0009 - 01  | 1   | 127 | 127  |         |
| VFADE_LO  | VeloFade Lower  | 0x000a 0010 - 01  | 0   | 127 | 0    |         |
| VFADE_UP  | VeloFade Upper  | 0x000b 0011 - 01  | 0   | 127 | 0    |         |
+------------------------------------------------------------------------------+
| Block: PCMT_PMT_PMT : Total Length Bytes: 0x000c 12                          |
+------------------------------------------------------------------------------+

+------------------------------------------------------------------------------------------------------+
| Block: PCMT_PMT                                                                                      |
+------------------------------------------------------------------------------------------------------+
| ID            | Description      | Byte offset - len     | Min | Max | Init | Values                 |
+------------------------------------------------------------------------------------------------------+
| VEL_CTRL      | Velocity Control | 0x0000 0000 - 01      | 0   | 3   | 1    | OFF, ON, RANDOM, CYCLE |
| PMT_LEVEL_CRV | PMT Level Curve  | 0x0001 0001 - 01      | 0   | 1   | 0    | EXP, LINEAR            |
